occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
0.6,0.483,0.483,0.0,0.0,0.0,0.0,0.699,0.714,0.714,0.727,0.0,0.282,0,0
0.6,0.483,0.483,0.0,0.0,0.0,0.0,0.699,0.714,0.714,0.311,0.0,0.0382,0,0
0.6,0.483,0.483,0.0,0.0,0.0,0.0,0.699,0.714,0.714,0.441,0.0,0.433,0,0
0.8,0.477,0.477,0.0,0.0,0.0,0.0,0.823,0.767,0.767,0.294,0.0,0.188,0,0
0.8,0.477,0.477,0.4,0.0,0.0,0.0,0.823,0.767,0.767,0.197,0.0,0.188,0,0
0.8,0.477,0.477,0.6,0.0,0.0,0.0,0.823,0.767,0.767,0.315,0.166,0.249,0,0
0.8,0.37,0.37,0.0,0.0,0.667,0.0,0.682,0.692,0.692,0.0,0.47,0.468,0,0
1.0,0.326,0.326,0.0,0.0,0.267,0.733,0.598,0.636,0.636,0.0,0.279,0.0,0,0
1.0,0.234,0.234,0.0,0.0,0.0,0.333,0.485,0.579,0.579,0.0,0.523,0.167,0,0
0.8,0.142,0.142,0.0,0.0,0.0,0.0,0.371,0.522,0.522,0.0,0.0876,0.094,0,0
0.8,0.142,0.142,0.0,0.0,0.0,0.0,0.371,0.522,0.522,0.0,0.166,0.0,0,0
0.8,0.129,0.129,0.0,0.0,0.0,0.0,0.434,0.549,0.549,0.0,0.208,0.0418,0,0
0.8,0.129,0.129,0.0,0.0,0.0,0.0,0.434,0.549,0.549,0.0,0.329,0.0418,0,0
1.0,0.169,0.169,0.0,0.0,0.0,0.0,0.523,0.591,0.591,0.0,0.0,0.094,0,0
1.0,0.129,0.129,0.0,0.0,0.0,0.0,0.434,0.549,0.549,0.0,0.0,0.094,0,0
1.0,0.0642,0.0642,0.0,0.0,0.0,0.0,0.318,0.503,0.503,0.0,0.0,0.094,0,0
1.0,0.0642,0.0642,0.0,0.0,0.0,0.0,0.318,0.503,0.503,0.0,0.0,0.188,0,0
1.0,0.0642,0.0642,0.0,0.0,0.0,0.0,0.318,0.503,0.503,0.0,0.0,0.0,0,0
1.0,0.0642,0.0642,0.0,0.0,0.0,0.0,0.318,0.503,0.503,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
0.8,0.0494,0.0494,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.538,0,0
0.8,0.0505,0.0505,0.0,0.0,0.0,0.0,0.298,0.492,0.492,0.0,0.0,0.467,0,0
0.8,0.0505,0.0505,0.0,0.0,0.0,0.0,0.298,0.492,0.492,0.0,0.0,0.0434,0,0
1.0,0.0516,0.0516,0.0,0.0,0.0,0.0,0.339,0.519,0.519,0.0,0.0,0.0,0,0
1.0,0.0898,0.0898,0.0,0.0,0.0,0.0,0.356,0.526,0.526,0.0,0.0,0.129,0,0
1.0,0.11,0.11,0.0,0.0,0.0,0.0,0.405,0.557,0.557,0.0,0.0,0.475,0,0
1.0,0.11,0.11,0.0,0.0,0.0,0.0,0.405,0.557,0.557,0.0,0.0,0.0,0,0
0.8,0.0898,0.0898,0.0,0.0,0.0,0.0,0.356,0.526,0.526,0.0,0.0,0.0804,0,0
0.8,0.232,0.232,0.0,0.0,0.0,0.0,0.464,0.602,0.602,0.0,0.0,0.0994,0,0
0.8,0.232,0.232,0.0,0.0,0.0,0.0,0.464,0.602,0.602,0.0,0.0,0.0,0,0
0.8,0.232,0.232,0.0,0.0,0.0,0.0,0.464,0.602,0.602,0.0,0.0,0.0856,0,0
0.8,0.232,0.232,0.0,0.0,0.0,0.0,0.464,0.602,0.602,0.0,0.0,0.15,0,0
0.8,0.288,0.288,0.4,0.0,0.0,0.0,0.497,0.658,0.658,0.0,0.0,0.0,0,0
0.8,0.288,0.288,1.0,0.0,0.0,0.0,0.497,0.658,0.658,0.0,0.0,0.0433,0,0
0.8,0.368,0.368,1.0,0.0,0.0,0.0,0.577,0.722,0.722,0.0,0.0,0.151,0,0
0.8,0.368,0.368,1.0,0.0,0.0,0.0,0.577,0.722,0.722,0.0,0.0,0.0,0,0
0.6,0.305,0.305,1.0,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0477,0,0
0.6,0.305,0.305,1.0,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0,0,0
0.6,0.305,0.305,1.0,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.0867,0,0
0.6,0.305,0.305,0.8,0.0,0.0,0.0,0.388,0.669,0.669,0.0,0.0,0.83,0,0
0.6,0.313,0.313,0.0,0.0,0.0,0.0,0.296,0.669,0.669,0.0,0.0,0.188,0,0
0.6,0.313,0.313,0.0,0.0,0.0,0.0,0.296,0.669,0.669,0.0,0.0,0.116,0,0
0.6,0.313,0.313,0.0,0.0,0.0,0.0,0.296,0.669,0.669,0.0,0.0,0.094,0,0
0.6,0.313,0.313,0.0,0.0,0.0,0.0,0.296,0.669,0.669,0.0,0.0,0.0,0,0
0.4,0.22,0.22,0.0,0.0,0.0,0.0,0.289,0.601,0.601,0.0,0.0,0.0,0,0
0.4,0.22,0.22,0.4,0.0,0.0,0.0,0.289,0.601,0.601,0.0,0.0,0.135,0,0
0.4,0.22,0.22,0.6,0.0,0.0,0.0,0.289,0.601,0.601,0.0,0.0,0.101,0,0
0.4,0.22,0.22,0.0,0.0,0.0,0.0,0.289,0.601,0.601,0.0,0.0,0.0,0,0
0.4,0.212,0.212,0.0,0.0,0.0,0.0,0.294,0.609,0.609,0.0,0.0,0.132,0,0
0.4,0.212,0.212,0.0,0.0,0.0,0.0,0.294,0.609,0.609,0.0,0.0,0.339,0,0
0.4,0.212,0.212,0.0,0.0,0.0,0.0,0.294,0.609,0.609,0.0,0.0,0.094,0,0
0.4,0.212,0.212,0.0,0.0,0.0,0.0,0.294,0.609,0.609,0.0,0.0,0.0441,0,0
0.4,0.207,0.207,0.0,0.0,0.0,0.0,0.289,0.616,0.616,0.0,0.0,0.132,0,0
0.6,0.286,0.286,0.0,0.0,0.0,0.0,0.304,0.692,0.692,0.0,0.0,0.0,0,0
0.6,0.286,0.286,0.4,0.0,0.0,0.0,0.304,0.692,0.692,0.0,0.0,0.094,0,0
0.6,0.286,0.286,1.0,0.0,0.0,0.0,0.304,0.692,0.692,0.0,0.0,0.094,0,0
0.6,0.284,0.284,1.0,0.0,0.0,0.0,0.338,0.692,0.692,0.0,0.0,0.094,0,0
0.4,0.206,0.206,1.0,0.0,0.0,0.0,0.311,0.616,0.616,0.0,0.0,0.0,0,0
0.4,0.206,0.206,1.0,0.0,0.0,0.0,0.311,0.616,0.616,0.0,0.227,0.0,0,0
0.4,0.206,0.206,1.0,0.0,0.667,0.0,0.311,0.616,0.616,0.0,0.148,0.0,0,0
0.4,0.21,0.21,1.0,0.0,1.0,0.0,0.328,0.609,0.609,0.0,0.0695,0.0,0,0
0.4,0.21,0.21,1.0,0.0,1.0,0.0,0.328,0.609,0.609,0.0,0.218,0.0,0,0
0.4,0.21,0.21,1.0,0.0,0.2,0.8,0.328,0.609,0.609,0.0,0.0,0.0,0,0
0.6,0.29,0.29,1.0,0.0,0.0,1.0,0.363,0.681,0.681,0.0,0.0,0.0,0,0
